,osmid,y,x,street_count,highway,ref
40364,6507929165,51.5030501,-0.1112349,3,,
40365,6508586592,51.5278684,-0.0551953,3,,
40366,6508648091,51.5257042,-0.0885055,1,,
40367,6508648093,51.5256163,-0.0881289,1,,
40368,6508724311,51.5094101,-0.0767202,3,,
40369,6508724312,51.5094975,-0.0767188,4,crossing,
40370,6509584413,51.5110444,-0.0949897,3,,
40371,6509584414,51.511196,-0.0946351,3,,
40372,6509684096,51.5114765,-0.1024849,1,,
40373,6510726362,51.4975989,-0.1245666,4,,
40374,6510726368,51.4975774,-0.1252711,4,,
40375,6511722097,51.5299198,-0.1769735,1,,
40376,6511722144,51.5297951,-0.1764738,3,,
40377,6511722147,51.5295132,-0.1766481,3,,
40378,6511722150,51.5294009,-0.1768517,1,,
40379,6511722160,51.5295833,-0.1764048,3,,
40380,6511997367,51.503232,-0.1127762,3,,
40381,6512151831,51.5254541,-0.0884165,3,,
40382,6512151834,51.5260637,-0.0859292,3,,
40383,6512151836,51.5256044,-0.0884729,1,,
40384,6512151843,51.5258451,-0.087058,3,,
40385,6512151844,51.525898,-0.0866825,3,,
40386,6513064617,51.5011455,-0.0890216,3,,
40387,6513064619,51.5011202,-0.0895053,1,,
40388,6513064622,51.5011522,-0.0894178,3,,
40389,6513064623,51.5010214,-0.0890749,3,,
40390,6513064626,51.5009766,-0.088621,1,,
40391,6513064644,51.5014868,-0.0906235,3,,
40392,6513064649,51.5013117,-0.0905523,3,,
40393,6513064651,51.5013139,-0.0906418,3,,
40394,6513064652,51.5011795,-0.0905682,1,,
40395,6513064654,51.501479,-0.0905292,3,,
40396,6513064657,51.5015934,-0.0905675,3,,
40397,6513064662,51.5015896,-0.0904639,1,,
40398,6513064663,51.5017439,-0.0906985,3,,
40399,6513064664,51.5019287,-0.0906915,1,,
40400,6513064665,51.5017629,-0.0911611,1,,
40401,6513064668,51.5015023,-0.09099,1,,
40402,6514292576,51.5473422,-0.1911425,3,,
40403,6514292577,51.5473949,-0.1918319,3,,
40404,6514292578,51.5474136,-0.1918416,1,,
40405,6514307085,51.5469945,-0.1911784,3,,
40406,6514307086,51.5472693,-0.1917602,3,,
40407,6514533673,51.5290953,-0.1764924,3,,
40408,6514533678,51.5292395,-0.1760143,3,,
40409,6514536787,51.5280738,-0.1751982,1,,
40410,6517459533,51.5309927,-0.174794,1,,
40411,6518661221,51.5310075,-0.1757179,3,,
40412,6518661222,51.5308245,-0.175528,1,,
40413,6519028343,51.5325147,-0.1395305,3,,
40414,6519028345,51.5327493,-0.1379661,4,,
40415,6521964222,51.5257685,-0.0886936,3,,
40416,6524005140,51.4987693,-0.1778832,3,,
40417,6524005142,51.4985129,-0.1779557,1,,
40418,6524005143,51.4987252,-0.177968,1,,
40419,6524005152,51.4994247,-0.178606,3,,
40420,6524005153,51.499397,-0.1789054,1,,
40421,6524005154,51.4986494,-0.1787113,3,,
40422,6524005155,51.4986317,-0.1790201,1,,
40423,6525346093,51.5152642,-0.0581321,3,,
40424,6525346094,51.5155734,-0.0583836,1,,
40425,6525670236,51.5201767,-0.0973806,3,,
40426,6525670237,51.5199604,-0.0973326,3,,
40427,6525670242,51.5200731,-0.0973509,5,,
40428,6525677487,51.5194114,-0.0548811,3,,
40429,6525677489,51.519705,-0.0550063,3,,
40430,6525677490,51.5196659,-0.0552357,1,,
40431,6525677491,51.5197486,-0.0547476,1,,
40432,6525677492,51.5195301,-0.0549265,4,,
40433,6525677495,51.519478,-0.0552741,1,,
40434,6525701529,51.5166631,-0.1007898,3,,
40435,6525701530,51.5167463,-0.1009523,1,,
40436,6525701533,51.5168665,-0.1011453,1,,
40437,6525701535,51.5170588,-0.1010489,1,,
40438,6525701539,51.5169027,-0.1008825,3,,
40439,6525701540,51.5169426,-0.1011076,3,,
40440,6525742140,51.4945932,-0.0972756,1,,
40441,6525742145,51.493347,-0.0986383,1,,
40442,6525742154,51.4937367,-0.0976127,3,,
40443,6525742156,51.4937837,-0.0976765,4,,
40444,6525742158,51.4936204,-0.0975664,3,,
40445,6525742160,51.4927466,-0.0942534,3,,
40446,6525742170,51.4936602,-0.0977396,4,,
40447,6528781679,51.5320015,-0.1721655,3,,
40448,6528781682,51.5321847,-0.1718452,3,,
40449,6528781683,51.5322625,-0.1716837,3,,
40450,6530449098,51.5132373,-0.057841,1,,
40451,6530668510,51.5122767,-0.0608553,1,,
40452,6530668573,51.5123405,-0.0598336,1,,
40453,6530668576,51.5122903,-0.0608575,3,,
40454,6533299091,51.5320596,-0.1695276,3,,
40455,6533542031,51.5450976,-0.1661223,3,,
40456,6533542033,51.5448908,-0.1660545,1,,
40457,6533574817,51.5430766,-0.1667653,4,crossing,
40458,6535620517,51.5063425,-0.1169529,3,,
40459,6535716247,51.530935,-0.1674228,1,,
40460,6537359932,51.5253716,-0.0873456,3,,
40461,6542104871,51.5330111,-0.1694542,1,,
40462,6545260648,51.5332304,-0.1679138,3,,
40463,6545280399,51.533387,-0.1680969,3,,
40464,6545280400,51.5332549,-0.168378,1,,
40465,6545280401,51.5335554,-0.1677462,1,,
40466,6545280404,51.533846,-0.1686806,3,,
40467,6545280405,51.5339429,-0.1684523,1,,
40468,6545280406,51.5337513,-0.1688965,1,,
40469,6545603838,51.5345193,-0.1677942,3,,
40470,6545603840,51.5341873,-0.1673569,1,,
40471,6546667027,51.5335576,-0.1661439,3,,
40472,6546667042,51.5335102,-0.1661825,3,,
40473,6546707375,51.5334267,-0.1657214,3,,
40474,6547754387,51.4952814,-0.1102605,3,,
40475,6547754388,51.4955644,-0.1099898,3,,
40476,6547754389,51.4858242,-0.1072137,3,,
40477,6547754392,51.4859213,-0.1077113,1,,
40478,6548029255,51.5338987,-0.1652234,3,,
40479,6548029263,51.5343459,-0.1646788,3,,
40480,6548870691,51.5359753,-0.1644396,3,,
40481,6548870692,51.5358223,-0.1642426,1,,
40482,6548879901,51.5353403,-0.1642537,3,,
40483,6548879902,51.5356115,-0.1636798,1,,
40484,6548879910,51.5351664,-0.1640063,3,,
40485,6548879914,51.5352212,-0.163879,3,,
40486,6548879975,51.5362951,-0.1635105,3,,
40487,6548879976,51.536022,-0.1632594,1,,
40488,6551414193,51.4930519,-0.1661432,3,,
40489,6551414194,51.4926085,-0.1665787,3,,
40490,6551680734,51.5039704,-0.0927743,1,,
40491,6551809105,51.5040173,-0.092527,1,,
40492,6551816708,51.492744,-0.1655328,1,,
40493,6551816711,51.4927914,-0.1654799,3,,
40494,6551816720,51.4921099,-0.1652961,3,,
40495,6551816723,51.4922172,-0.1650629,3,,
40496,6551816726,51.4920316,-0.1650904,3,,
40497,6551816727,51.4922628,-0.1650262,1,,
40498,6551867256,51.5030824,-0.0787517,3,,
40499,6551867270,51.4979654,-0.0663309,4,,
40500,6551867274,51.4992474,-0.0710817,1,,
40501,6551867278,51.49806,-0.066764,1,,
40502,6551867283,51.4985501,-0.0702975,3,,
40503,6551935887,51.4993939,-0.0586925,3,,
40504,6551935890,51.5024072,-0.0774564,3,,
40505,6551935904,51.4981676,-0.0678086,1,,
40506,6551935916,51.4982848,-0.0635285,1,,
40507,6551935918,51.5013641,-0.0757374,1,crossing,
40508,6551935921,51.5023621,-0.0774967,5,,
40509,6551935922,51.4988014,-0.0701831,3,,
40510,6551935925,51.4980919,-0.0651441,1,,
40511,6553518666,51.5356009,-0.1667569,1,,
40512,6553518668,51.5347728,-0.1679288,1,,
40513,6554183377,51.5061826,-0.1148164,3,,
40514,6556655076,51.5353374,-0.1706264,3,,
40515,6556655077,51.5355113,-0.1702438,1,,
40516,6556722555,51.5210933,-0.0572368,3,,
40517,6558218640,51.534637,-0.1709055,3,,
40518,6558275340,51.5381265,-0.1523241,1,,
40519,6558275341,51.5381256,-0.1525254,3,,
40520,6558275347,51.538242,-0.1525182,3,,
40521,6558277005,51.5380994,-0.1525575,3,,
40522,6558277006,51.5382391,-0.1523141,1,,
40523,6558277008,51.5383113,-0.1525755,1,,
40524,6558277011,51.5381281,-0.153137,3,,
40525,6558277012,51.5381043,-0.1527595,3,,
40526,6561196568,51.5344028,-0.1730269,3,,
40527,6561196571,51.5339362,-0.1724773,3,,
40528,6561373805,51.5059584,-0.0812838,1,,
40529,6561389521,51.5336589,-0.1727721,1,,
40530,6561669253,51.5311239,-0.125695,3,,
40531,6561669254,51.531644,-0.1261007,3,,
40532,6561669255,51.5316962,-0.1259114,1,,
40533,6561669256,51.5315894,-0.126299,1,,
40534,6561669257,51.5314317,-0.1256968,1,,
40535,6561669258,51.5313754,-0.1258911,4,,
40536,6561669259,51.5313191,-0.1260857,1,,
40537,6561681720,51.5325562,-0.1273437,1,,
40538,6561682291,51.4986344,-0.1796331,3,,
40539,6561682292,51.4991839,-0.1797454,3,,
40540,6561682293,51.4996859,-0.179222,3,,
40541,6561682307,51.4972282,-0.1689833,3,,
40542,6561682312,51.4967026,-0.1695338,3,,
40543,6561682324,51.4975648,-0.1739173,3,,
40544,6561682325,51.4973056,-0.1738653,3,,
40545,6561682331,51.4957723,-0.1763523,1,,
40546,6561682351,51.4956337,-0.1768552,1,,
40547,6561682354,51.4951318,-0.1734307,4,,
40548,6562662450,51.4901428,-0.1701714,4,,
40549,6562662451,51.4903539,-0.1688983,3,,
40550,6562662452,51.4902777,-0.1695525,3,,
40551,6564750296,51.5372629,-0.1730009,3,,
40552,6564822627,51.5349046,-0.1741871,1,,
40553,6564881741,51.5359549,-0.1759572,3,,
40554,6564881747,51.5356241,-0.1749314,3,,
40555,6565125753,51.5319907,-0.0675743,3,,
40556,6565125755,51.531793,-0.0687695,3,,
40557,6565125758,51.5317954,-0.0686747,1,,
40558,6565236185,51.5290415,-0.0944443,3,,
40559,6566353200,51.5382424,-0.1722406,3,,
